method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,5,20,1,9,False,300,16,9,0.7680379999999806
ppo,,5,20,1,10,False,300,37,12,0.6869159999999871
ppo,,5,20,1,11,False,300,331,298,0.7579396666666582
ppo,,5,20,1,12,False,300,337,297,0.761558333333312
ppo,,5,20,1,13,False,300,18,6,0.7019033333333388
ppo,,5,20,1,14,False,300,330,300,0.6705880000000045
ppo,,5,20,1,15,False,300,66,22,0.7850123333333414
ppo,,5,20,1,16,False,300,302,300,0.7682140000000004
ppo,,5,20,1,17,False,300,28,9,0.7129073333333243
ppo,,5,20,1,18,False,300,301,300,0.7690479999999885
ppo,,5,20,1,19,False,300,76,26,0.7549846666666582
ppo,,5,20,2,0,False,300,317,300,0.6786539999999993
ppo,,5,20,2,1,False,300,67,21,0.7612129999999931
ppo,,5,20,2,2,False,300,21,11,0.6807376666666679
ppo,,5,20,2,3,False,300,27,11,0.641889333333315
ppo,,5,20,2,4,False,300,347,300,0.6440599999999819
ppo,,5,20,2,5,False,300,83,25,0.6760106666666607
ppo,,5,20,2,6,False,300,52,22,0.6231859999999992
ppo,,5,20,2,7,False,300,27,9,0.6279606666666618
ppo,,5,20,2,8,False,300,42,15,0.6722826666666512
ppo,,5,20,2,9,False,300,318,300,0.6174100000000019
ppo,,5,20,2,10,False,300,34,12,0.6177856666666534
ppo,,5,20,2,11,False,300,45,17,0.6496470000000206
ppo,,5,20,2,12,False,300,18,11,0.6597869999999991
ppo,,5,20,2,13,False,300,14,6,0.6890466666666603
ppo,,5,20,2,14,False,300,327,298,0.6340909999999885
ppo,,5,20,2,15,False,300,20,7,0.6491050000000106
ppo,,5,20,2,16,False,300,13,6,0.6441436666666789
ppo,,5,20,2,17,False,300,24,10,0.6353643333333281
ppo,,5,20,2,18,False,300,40,12,0.6390756666666656
ppo,,5,20,2,19,False,300,607,300,0.6246509999999953
ppo,,5,25,0,0,False,300,320,300,0.7344123333333386
astar,median,5,25,-1,0,True,11,26,11,
astar,component,5,25,-1,0,True,13,44,11,
astar,bbox,5,25,-1,0,True,9,34,9,
ppo,,5,25,0,1,False,300,338,297,0.7229536666666784
astar,median,5,25,-1,1,True,16,28,16,
astar,component,5,25,-1,1,True,23,40,21,
astar,bbox,5,25,-1,1,True,42,46,15,
ppo,,5,25,0,2,False,300,315,299,0.7399496666666749
astar,median,5,25,-1,2,True,12,41,12,
astar,component,5,25,-1,2,True,17,75,17,
astar,bbox,5,25,-1,2,True,167,105,24,
ppo,,5,25,0,3,False,300,316,300,0.7857643333333423
astar,median,5,25,-1,3,True,21,62,21,
astar,component,5,25,-1,3,True,240,265,59,
astar,bbox,5,25,-1,3,True,36,105,26,
ppo,,5,25,0,4,False,300,31,17,0.7097026666666769
astar,median,5,25,-1,4,True,16,35,15,
astar,component,5,25,-1,4,True,13,50,12,
astar,bbox,5,25,-1,4,True,17,49,14,
ppo,,5,25,0,5,False,300,64,19,0.7868819999999962
astar,median,5,25,-1,5,True,148,98,25,
astar,component,5,25,-1,5,True,231,205,60,
astar,bbox,5,25,-1,5,True,21,71,19,
ppo,,5,25,0,6,False,300,19,11,0.7578003333333309
astar,median,5,25,-1,6,True,181,125,29,
astar,component,5,25,-1,6,True,48,97,22,
astar,bbox,5,25,-1,6,True,17,67,16,
ppo,,5,25,0,7,False,300,326,295,0.768447666666674
astar,median,5,25,-1,7,True,41,57,21,
astar,component,5,25,-1,7,True,25,81,23,
astar,bbox,5,25,-1,7,True,18,58,18,
ppo,,5,25,0,8,False,300,86,36,0.7314636666666748
astar,median,5,25,-1,8,True,15,45,15,
astar,component,5,25,-1,8,True,16,57,16,
astar,bbox,5,25,-1,8,True,13,48,13,
