method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances,wall_ms_per_step
astar,median,3,20,-1,9,True,True,39,13,8,0.6954732510288066,0,34,"[8, 4, 1]",
astar,component,3,20,-1,9,True,True,31,25,10,0.9600614439324117,0,20,"[9, 6, 10]",
astar,bbox,3,20,-1,9,True,False,18,18,8,0.9310344827586207,5,3,"[6, 8, 4]",
astar,minimax,3,20,-1,9,True,True,37,15,7,0.8426966292134831,0,20,"[7, 6, 2]",
ppo,,3,20,0,10,0.0,0.0,300.0,15.0,10.0,0.6637168141592921,290.0,0.0,"[3.0, 2.0, 10.0]",0.3942023333333319
astar,median,3,20,-1,10,True,True,8,13,8,0.6329588014981273,0,0,"[0, 5, 8]",
astar,component,3,20,-1,10,True,True,13,27,12,0.9033457249070632,0,0,"[10, 5, 12]",
astar,bbox,3,20,-1,10,True,True,7,18,7,0.9473684210526315,0,0,"[4, 7, 7]",
astar,minimax,3,20,-1,10,True,True,7,16,7,0.8366013071895425,0,0,"[2, 7, 7]",
ppo,,3,20,0,11,1.0,1.0,5.0,9.0,5.0,0.6585365853658537,0.0,0.0,"[4.0, 5.0, 0.0]",0.5528599999999884
astar,median,3,20,-1,11,True,True,5,10,5,0.6666666666666666,0,0,"[5, 5, 0]",
astar,component,3,20,-1,11,True,True,5,10,5,0.6666666666666666,0,0,"[5, 5, 0]",
astar,bbox,3,20,-1,11,True,True,5,13,5,0.9548022598870056,0,0,"[5, 5, 3]",
astar,minimax,3,20,-1,11,True,True,5,11,5,0.7908496732026143,0,0,"[5, 5, 1]",
ppo,,3,20,0,12,0.0,0.0,300.0,8.0,6.0,0.5333333333333333,298.0,0.0,"[6.0, 0.0, 2.0]",0.3843726666666658
astar,median,3,20,-1,12,True,False,19,22,13,0.6453333333333333,6,0,"[9, 0, 13]",
astar,component,3,20,-1,12,True,False,25,32,17,0.8244766505636071,8,0,"[5, 10, 17]",
astar,bbox,3,20,-1,12,True,False,38,37,14,0.9898770788141721,6,0,"[14, 11, 12]",
astar,minimax,3,20,-1,12,True,False,79,36,17,0.9113924050632911,10,40,"[17, 8, 11]",
ppo,,3,20,0,13,0.0,0.0,300.0,13.0,7.0,0.6627450980392157,587.0,0.0,"[7.0, 6.0, 0.0]",0.4094476666666669
astar,median,3,20,-1,13,True,False,22,30,16,0.704225352112676,10,0,"[16, 13, 1]",
astar,component,3,20,-1,13,True,False,19,44,18,0.9490196078431372,1,0,"[18, 10, 16]",
astar,bbox,3,20,-1,13,True,False,18,38,14,0.9944903581267218,12,0,"[12, 14, 12]",
astar,minimax,3,20,-1,13,True,False,16,30,14,0.8426966292134831,6,0,"[14, 12, 4]",
ppo,,3,20,0,14,0.0,0.0,300.0,21.0,12.0,0.7461928934010152,871.0,6.0,"[7.0, 2.0, 12.0]",0.41046099999999974
astar,median,3,20,-1,14,True,False,23,22,17,0.5138004246284501,6,0,"[5, 0, 17]",
astar,component,3,20,-1,14,True,False,22,42,17,0.9702970297029703,4,0,"[14, 11, 17]",
astar,bbox,3,20,-1,14,True,False,34,36,13,0.9953917050691244,3,20,"[11, 12, 13]",
astar,minimax,3,20,-1,14,True,False,10,25,10,0.9259259259259259,4,0,"[10, 5, 10]",
ppo,,3,20,0,15,0.0,0.0,300.0,11.0,11.0,0.3333333333333333,600.0,0.0,"[0.0, 0.0, 11.0]",0.3999906666666675
astar,median,3,20,-1,15,True,False,16,23,14,0.7081659973226239,2,0,"[7, 14, 2]",
astar,component,3,20,-1,15,True,True,21,42,21,0.8828828828828829,0,0,"[12, 21, 9]",
astar,bbox,3,20,-1,15,True,True,9,25,9,0.9873617693522907,0,0,"[9, 9, 7]",
astar,minimax,3,20,-1,15,True,False,13,26,11,0.9467787114845938,4,0,"[11, 9, 6]",
ppo,,3,20,0,16,1.0,1.0,5.0,11.0,5.0,0.8962962962962963,0.0,1.0,"[4.0, 5.0, 2.0]",0.556599999999996
astar,median,3,20,-1,16,True,True,5,9,5,0.7714285714285715,0,0,"[3, 5, 1]",
astar,component,3,20,-1,16,True,True,6,10,6,0.7575757575757576,0,0,"[2, 6, 2]",
astar,bbox,3,20,-1,16,True,True,4,12,4,1.0,0,0,"[4, 4, 4]",
astar,minimax,3,20,-1,16,True,True,5,13,5,0.9548022598870056,0,0,"[5, 5, 3]",
ppo,,3,20,0,17,1.0,1.0,5.0,10.0,5.0,0.8771929824561403,0.0,0.0,"[3.0, 5.0, 2.0]",0.4891000000000645
astar,median,3,20,-1,17,True,True,5,9,5,0.6585365853658537,0,0,"[4, 5, 0]",
astar,component,3,20,-1,17,True,True,8,17,7,0.9003115264797508,0,0,"[7, 3, 7]",
astar,bbox,3,20,-1,17,True,True,5,11,5,0.7908496732026143,0,0,"[5, 5, 1]",
astar,minimax,3,20,-1,17,True,True,5,11,5,0.7908496732026143,0,0,"[5, 5, 1]",
ppo,,3,20,0,18,0.0,0.0,300.0,14.0,10.0,0.6049382716049383,588.0,0.0,"[2.0, 2.0, 10.0]",0.40236933333333447
astar,median,3,20,-1,18,True,True,9,18,9,0.6666666666666666,0,0,"[0, 9, 9]",
astar,component,3,20,-1,18,True,False,21,33,12,0.983739837398374,9,6,"[9, 12, 12]",
astar,bbox,3,20,-1,18,True,False,32,36,15,0.968609865470852,9,32,"[11, 10, 15]",
astar,minimax,3,20,-1,18,True,False,43,26,11,0.9467787114845938,4,20,"[6, 9, 11]",
ppo,,3,20,0,19,0.0,0.0,300.0,23.0,9.0,0.9742173112338858,586.0,0.0,"[8.0, 9.0, 6.0]",0.4036283333333361
astar,median,3,20,-1,19,True,True,18,21,18,0.44144144144144143,0,0,"[18, 3, 0]",
astar,component,3,20,-1,19,True,False,36,66,29,0.9490196078431372,6,1,"[29, 17, 20]",
