map_seed,m,n,method,variant,rollout,success,steps,total_distance,max_distance,jain,obs_collisions,revealed,per_robot_distances
10002,20,5,ppo,seed2,2,False,300,463,137,0.9355168124986363,310,0.2675,"[68, 137, 98, 84, 76]"
10002,20,5,ppo,seed2,3,True,230,372,115,0.9233602455461399,183,0.255,"[115, 68, 58, 75, 56]"
10002,20,5,ppo,seed2,4,True,159,339,87,0.9688572271635122,184,0.2675,"[71, 66, 87, 66, 49]"
10002,20,5,frontier,danger,0,False,300,54,12,0.9918367346938776,0,0.2275,"[12, 10, 10, 12, 10]"
10002,20,5,frontier,no_danger,0,False,300,22,6,0.8344827586206897,0,0.165,"[2, 6, 6, 2, 6]"
10003,20,2,ppo,seed0,0,True,14,21,12,0.98,1,0.17,"[9, 12]"
10003,20,2,ppo,seed0,1,True,11,21,11,0.997737556561086,0,0.175,"[10, 11]"
10003,20,2,ppo,seed0,2,True,12,21,11,0.997737556561086,0,0.155,"[10, 11]"
10003,20,2,ppo,seed0,3,True,12,21,12,0.98,1,0.155,"[12, 9]"
10003,20,2,ppo,seed0,4,True,15,23,12,0.9981132075471698,0,0.1625,"[11, 12]"
10003,20,2,ppo,seed1,0,True,15,23,12,0.9981132075471698,1,0.19,"[11, 12]"
10003,20,2,ppo,seed1,1,True,26,29,22,0.7889305816135085,12,0.195,"[7, 22]"
10003,20,2,ppo,seed1,2,True,19,26,17,0.9135135135135135,7,0.18,"[9, 17]"
10003,20,2,ppo,seed1,3,True,12,22,11,1.0,1,0.17,"[11, 11]"
10003,20,2,ppo,seed1,4,True,16,19,12,0.9352331606217616,6,0.1725,"[7, 12]"
10003,20,2,ppo,seed2,0,True,14,21,12,0.98,1,0.16,"[9, 12]"
10003,20,2,ppo,seed2,1,True,38,48,30,0.9411764705882353,7,0.215,"[18, 30]"
10003,20,2,ppo,seed2,2,True,34,53,27,0.999644128113879,0,0.2275,"[26, 27]"
10003,20,2,ppo,seed2,3,True,12,21,11,0.997737556561086,1,0.16,"[11, 10]"
10003,20,2,ppo,seed2,4,True,12,18,9,1.0,0,0.16,"[9, 9]"
10003,20,2,frontier,danger,0,True,21,21,21,0.5,0,0.175,"[21, 0]"
10003,20,2,frontier,no_danger,0,True,10,20,10,1.0,0,0.1775,"[10, 10]"
10003,20,3,ppo,seed0,0,True,49,88,36,0.9718875502008032,20,0.2775,"[36, 28, 24]"
10003,20,3,ppo,seed0,1,True,30,48,21,0.9481481481481482,17,0.26,"[21, 12, 15]"
10003,20,3,ppo,seed0,2,True,28,59,21,0.9959942775393419,4,0.2725,"[20, 18, 21]"
10003,20,3,ppo,seed0,3,True,52,83,34,0.9726104757870959,20,0.3,"[34, 26, 23]"
10003,20,3,ppo,seed0,4,True,67,113,43,0.9786924197133441,29,0.315,"[40, 43, 30]"
10003,20,3,ppo,seed1,0,True,71,106,45,0.9491468153404291,39,0.2725,"[45, 36, 25]"
10003,20,3,ppo,seed1,1,True,88,126,53,0.962531829756275,45,0.285,"[33, 40, 53]"
10003,20,3,ppo,seed1,2,True,44,85,31,0.992308748798242,13,0.2675,"[31, 25, 29]"
10003,20,3,ppo,seed1,3,True,47,83,34,0.9407346715826846,21,0.29,"[34, 31, 18]"
10003,20,3,ppo,seed1,4,True,41,74,28,0.9898770788141721,3,0.27,"[28, 24, 22]"
10003,20,3,ppo,seed2,0,True,64,108,49,0.9200189304306673,30,0.2825,"[49, 36, 23]"
10003,20,3,ppo,seed2,1,True,30,48,21,0.9481481481481482,20,0.26,"[21, 12, 15]"
10003,20,3,ppo,seed2,2,True,130,205,82,0.9776211412752692,23,0.315,"[82, 66, 57]"
10003,20,3,ppo,seed2,3,True,124,179,64,0.9969507452005352,67,0.3,"[56, 64, 59]"
10003,20,3,ppo,seed2,4,True,76,107,42,0.9693506053678774,51,0.3375,"[38, 42, 27]"
10003,20,3,frontier,danger,0,True,11,31,11,0.9979231568016614,0,0.21,"[10, 10, 11]"
10003,20,3,frontier,no_danger,0,True,11,33,11,1.0,0,0.2025,"[11, 11, 11]"
10003,20,4,ppo,seed0,0,True,61,120,37,0.9589770911028237,45,0.33,"[22, 26, 37, 35]"
10003,20,4,ppo,seed0,1,True,32,79,28,0.9303816338700059,10,0.3425,"[21, 16, 14, 28]"
10003,20,4,ppo,seed0,2,True,141,287,88,0.9803499166865032,80,0.4125,"[69, 60, 70, 88]"
10003,20,4,ppo,seed0,3,True,65,143,48,0.890480752482146,40,0.3825,"[45, 34, 16, 48]"
10003,20,4,ppo,seed0,4,True,166,320,92,0.9629128112540435,69,0.355,"[87, 92, 88, 53]"
10003,20,4,ppo,seed1,0,True,218,343,111,0.9639883976270853,177,0.395,"[73, 69, 111, 90]"
10003,20,4,ppo,seed1,1,True,32,83,25,0.9768859897901304,12,0.34,"[21, 16, 21, 25]"
10003,20,4,ppo,seed1,2,True,31,81,24,0.9734421364985163,7,0.34,"[22, 15, 20, 24]"
10003,20,4,ppo,seed1,3,True,60,129,38,0.9846745562130178,23,0.38,"[34, 29, 28, 38]"
10003,20,4,ppo,seed1,4,True,61,131,40,0.9574313769247935,29,0.39,"[24, 28, 39, 40]"
10003,20,4,ppo,seed2,0,True,83,194,55,0.9918827746152225,21,0.4075,"[44, 50, 55, 45]"
10003,20,4,ppo,seed2,1,True,49,115,33,0.991974197419742,15,0.3425,"[33, 28, 26, 28]"
10003,20,4,ppo,seed2,2,True,28,82,22,0.9970344009489917,1,0.345,"[21, 20, 22, 19]"
10003,20,4,ppo,seed2,3,True,40,94,29,0.9680105170902716,26,0.35,"[29, 18, 21, 26]"
10003,20,4,ppo,seed2,4,True,111,203,70,0.9277127420081045,64,0.38,"[51, 52, 70, 30]"
10003,20,4,frontier,danger,0,True,17,48,17,0.9442622950819672,0,0.3125,"[10, 11, 17, 10]"
10003,20,4,frontier,no_danger,0,False,300,53,14,0.9960992907801418,0,0.2975,"[12, 14, 14, 13]"
10003,20,5,ppo,seed0,0,True,88,283,62,0.9956983900043513,31,0.44,"[57, 59, 62, 52, 53]"
10003,20,5,ppo,seed0,1,True,33,110,23,0.9991742361684558,6,0.35,"[22, 22, 21, 22, 23]"
10003,20,5,ppo,seed0,2,True,32,115,28,0.9814471243042672,4,0.3725,"[28, 23, 23, 18, 23]"
