method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
astar,component,4,20,-1,8,True,False,28,46,16,0.921602787456446,7,54,
astar,bbox,4,20,-1,8,True,False,12,28,9,0.9245283018867925,3,12,
ppo,,4,20,0,9,1.0,1.0,16.8,50.2,14.4,0.9789801005991929,0.0,2.0,0.2879207375891773
astar,median,4,20,-1,9,True,True,30,26,9,0.898936170212766,0,56,
astar,component,4,20,-1,9,True,False,23,32,11,0.9552238805970149,4,43,
astar,bbox,4,20,-1,9,True,True,8,26,8,0.9388888888888889,0,0,
ppo,,4,20,0,10,1.0,0.0,76.8,179.2,51.2,0.9833890846127188,23.8,19.4,0.2498734688742843
astar,median,4,20,-1,10,True,True,6,18,6,0.75,0,0,
astar,component,4,20,-1,10,True,False,32,44,22,0.7181008902077152,14,5,
astar,bbox,4,20,-1,10,True,True,12,30,12,0.8093525179856115,0,15,
ppo,,4,20,0,11,1.0,0.0,23.0,63.2,18.4,0.9765747439072566,3.4,5.2,0.2566716785583159
astar,median,4,20,-1,11,True,True,11,23,11,0.6782051282051282,0,16,
astar,component,4,20,-1,11,True,True,11,34,10,0.9633333333333334,0,1,
astar,bbox,4,20,-1,11,True,True,205,94,41,0.6771919068056407,0,433,
