config,n,m,variant,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances
N5_M25,5,25,danger,7,True,True,23,67,23,0.8169244767970882,0,48,"[19, 23, 8, 8, 9]"
N5_M25,5,25,danger,8,True,True,18,68,18,0.9456032719836401,0,21,"[9, 16, 14, 18, 11]"
N5_M25,5,25,danger,9,False,False,300,155,46,0.8584956226549938,0,573,"[40, 46, 16, 37, 16]"
N5_M25,5,25,danger,10,False,False,300,153,42,0.8276118083789995,0,1347,"[42, 14, 13, 42, 42]"
N5_M25,5,25,danger,11,False,False,300,84,22,0.9471140939597316,0,569,"[11, 22, 14, 20, 17]"
N5_M25,5,25,danger,12,False,False,300,176,49,0.8696238068500842,0,1036,"[49, 12, 49, 33, 33]"
N5_M25,5,25,danger,13,True,True,20,74,20,0.8991789819376026,0,26,"[16, 20, 9, 20, 9]"
N5_M25,5,25,danger,14,False,False,300,50,18,0.8620689655172413,0,1168,"[8, 18, 8, 8, 8]"
N5_M25,5,25,danger,15,True,True,22,106,22,0.9978685612788633,0,0,"[22, 20, 22, 20, 22]"
N5_M25,5,25,danger,16,True,True,28,84,28,0.8831038798498123,0,56,"[11, 18, 28, 12, 15]"
N5_M25,5,25,danger,17,False,False,300,85,19,0.9944941500344116,0,852,"[18, 16, 16, 16, 19]"
N5_M25,5,25,danger,18,False,False,300,62,19,0.9196172248803828,0,1157,"[11, 8, 13, 19, 11]"
N5_M25,5,25,danger,19,False,False,300,136,32,0.9854022376132126,0,554,"[29, 23, 24, 32, 28]"
N5_M25,5,25,no_danger,0,False,False,300,40,12,0.8938547486033519,0,883,"[12, 4, 6, 9, 9]"
N5_M25,5,25,no_danger,1,True,True,15,30,15,0.5882352941176471,0,44,"[3, 2, 8, 15, 2]"
N5_M25,5,25,no_danger,2,True,True,13,61,13,0.9989261744966443,0,1,"[12, 12, 12, 12, 13]"
N5_M25,5,25,no_danger,3,False,False,300,120,28,0.9849521203830369,0,1380,"[28, 21, 27, 21, 23]"
N5_M25,5,25,no_danger,4,False,False,300,60,15,0.96,0,290,"[10, 15, 10, 15, 10]"
N5_M25,5,25,no_danger,5,True,True,20,80,20,0.974124809741248,0,7,"[14, 20, 15, 18, 13]"
N5_M25,5,25,no_danger,6,True,True,17,82,17,0.9991084695393759,0,1,"[17, 17, 16, 16, 16]"
N5_M25,5,25,no_danger,7,False,False,300,97,25,0.9765438505448885,0,1128,"[25, 20, 18, 17, 17]"
N5_M25,5,25,no_danger,8,True,True,13,61,13,0.9935914552736983,0,0,"[11, 13, 11, 13, 13]"
N5_M25,5,25,no_danger,9,True,True,19,89,19,0.996979232221523,0,4,"[19, 19, 17, 17, 17]"
N5_M25,5,25,no_danger,10,False,False,300,45,13,0.824847250509165,0,592,"[13, 4, 4, 11, 13]"
N5_M25,5,25,no_danger,11,False,False,300,51,13,0.9723364485981308,0,579,"[10, 11, 9, 13, 8]"
N5_M25,5,25,no_danger,12,True,True,17,76,17,0.989041095890411,0,0,"[17, 15, 14, 13, 17]"
N5_M25,5,25,no_danger,13,False,False,300,68,19,0.8909441233140655,0,584,"[15, 19, 8, 18, 8]"
N5_M25,5,25,no_danger,14,False,False,300,47,15,0.9185031185031185,0,1168,"[8, 15, 8, 8, 8]"
N5_M25,5,25,no_danger,15,True,True,21,97,21,0.9961884595023822,0,3,"[18, 18, 20, 21, 20]"
N5_M25,5,25,no_danger,16,True,True,19,59,19,0.8713391739674593,0,36,"[7, 14, 19, 7, 12]"
N5_M25,5,25,no_danger,17,False,False,300,66,22,0.8981443298969072,0,1156,"[12, 10, 11, 11, 22]"
N5_M25,5,25,no_danger,18,False,False,300,63,16,0.9763837638376384,0,579,"[12, 13, 12, 16, 10]"
N5_M25,5,25,no_danger,19,True,True,19,63,19,0.8489839572192514,0,24,"[19, 7, 8, 19, 10]"
