method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
astar,component,4,20,-1,16,True,8,22,8,
astar,bbox,4,20,-1,16,True,4,14,4,
ppo,,4,20,0,17,0.0,300.0,22.0,11.0,0.441651666666664
astar,median,4,20,-1,17,True,38,43,32,
astar,component,4,20,-1,17,True,22,57,22,
astar,bbox,4,20,-1,17,True,13,46,13,
ppo,,4,20,0,18,0.0,300.0,309.0,298.0,0.44703866666666886
astar,median,4,20,-1,18,True,45,32,15,
astar,component,4,20,-1,18,True,88,53,17,
astar,bbox,4,20,-1,18,True,135,64,21,
ppo,,4,20,0,19,0.0,300.0,30.0,11.0,0.4560279999999987
astar,median,4,20,-1,19,True,67,58,17,
astar,component,4,20,-1,19,True,160,204,53,
astar,bbox,4,20,-1,19,True,47,64,17,
ppo,,4,20,1,0,0.0,300.0,26.0,8.0,0.4535813333333334
ppo,,4,20,1,1,0.0,300.0,328.0,294.0,0.4527486666666647
ppo,,4,20,1,2,0.0,300.0,5.0,3.0,0.4450053333333356
ppo,,4,20,1,3,0.0,300.0,24.0,13.0,0.4387359999999952
ppo,,4,20,1,4,0.0,300.0,26.0,18.0,0.4523456666666626
ppo,,4,20,1,5,0.0,300.0,11.0,5.0,0.43922433333333893
ppo,,4,20,1,6,0.0,300.0,31.0,12.0,0.4401340000000016
ppo,,4,20,1,7,0.0,300.0,3.0,2.0,0.4376529999999985
ppo,,4,20,1,8,0.0,300.0,13.0,4.0,0.4395109999999984
ppo,,4,20,1,9,1.0,9.0,22.0,9.0,0.5159222222219897
ppo,,4,20,1,10,0.0,300.0,302.0,300.0,0.44040966666666276
ppo,,4,20,1,11,1.0,11.0,30.0,11.0,0.49346363636360024
ppo,,4,20,1,12,0.0,300.0,14.0,7.0,0.43211466666666826
ppo,,4,20,1,13,0.0,300.0,14.0,6.0,0.44251200000000307
ppo,,4,20,1,14,0.0,300.0,41.0,15.0,0.4413860000000014
ppo,,4,20,1,15,0.0,300.0,14.0,12.0,0.44252366666666393
ppo,,4,20,1,16,1.0,6.0,13.0,6.0,0.5317833333329247
ppo,,4,20,1,17,0.0,300.0,21.0,11.0,0.4361730000000108
ppo,,4,20,1,18,1.0,13.0,39.0,13.0,0.4713307692307139
ppo,,4,20,1,19,0.0,300.0,21.0,7.0,0.4285670000000034
ppo,,4,20,2,0,0.0,300.0,12.0,8.0,0.4402656666666734
ppo,,4,20,2,1,0.0,300.0,30.0,14.0,0.43668266666666494
ppo,,4,20,2,2,0.0,300.0,311.0,300.0,0.4441170000000009
ppo,,4,20,2,3,0.0,300.0,27.0,10.0,0.42949000000000126
ppo,,4,20,2,4,0.0,300.0,28.0,14.0,0.4349713333333227
ppo,,4,20,2,5,0.0,300.0,315.0,295.0,0.4402156666666694
ppo,,4,20,2,6,0.0,300.0,333.0,291.0,0.44585000000000247
ppo,,4,20,2,7,0.0,300.0,312.0,297.0,0.45457166666667587
ppo,,4,20,2,8,0.0,300.0,29.0,12.0,0.4574099999999959
ppo,,4,20,2,9,1.0,7.0,22.0,7.0,0.5313714285714509
ppo,,4,20,2,10,0.0,300.0,22.0,11.0,0.4575050000000047
ppo,,4,20,2,11,0.0,300.0,16.0,10.0,0.4489376666666682
ppo,,4,20,2,12,0.0,300.0,25.0,9.0,0.4536933333333337
ppo,,4,20,2,13,0.0,300.0,12.0,8.0,0.4497726666666561
ppo,,4,20,2,14,0.0,300.0,28.0,9.0,0.44680533333333255
ppo,,4,20,2,15,0.0,300.0,28.0,11.0,0.44678700000001
ppo,,4,20,2,16,0.0,300.0,19.0,8.0,0.4539959999999965
ppo,,4,20,2,17,0.0,300.0,13.0,7.0,0.4515430000000009
ppo,,4,20,2,18,0.0,300.0,20.0,8.0,0.4503320000000007
ppo,,4,20,2,19,0.0,300.0,318.0,300.0,0.4608560000000021
ppo,,5,20,0,0,0.0,300.0,30.0,9.0,0.5044716666666696
astar,median,5,20,-1,0,True,13,35,12,
astar,component,5,20,-1,0,True,106,82,23,
astar,bbox,5,20,-1,0,False,300,149,39,
ppo,,5,20,0,1,0.0,300.0,48.0,15.0,0.5074159999999969
astar,median,5,20,-1,1,True,12,38,12,
astar,component,5,20,-1,1,True,80,79,18,
astar,bbox,5,20,-1,1,True,44,52,12,
ppo,,5,20,0,2,0.0,300.0,30.0,8.0,0.4997539999999982
astar,median,5,20,-1,2,True,87,40,13,
astar,component,5,20,-1,2,True,198,168,36,
astar,bbox,5,20,-1,2,True,77,41,10,
ppo,,5,20,0,3,0.0,300.0,53.0,15.0,0.49183299999999264
astar,median,5,20,-1,3,True,27,59,17,
astar,component,5,20,-1,3,True,77,95,27,
astar,bbox,5,20,-1,3,True,87,66,17,
ppo,,5,20,0,4,0.0,300.0,52.0,15.0,0.5047033333333317
astar,median,5,20,-1,4,True,60,52,14,
astar,component,5,20,-1,4,True,16,50,11,
astar,bbox,5,20,-1,4,True,16,54,12,
ppo,,5,20,0,5,0.0,300.0,41.0,17.0,0.5051600000000059
astar,median,5,20,-1,5,True,14,31,11,
astar,component,5,20,-1,5,True,15,37,12,
astar,bbox,5,20,-1,5,True,16,44,13,
ppo,,5,20,0,6,0.0,300.0,30.0,16.0,0.4868136666666582
astar,median,5,20,-1,6,True,18,53,13,
astar,component,5,20,-1,6,True,90,107,26,
astar,bbox,5,20,-1,6,True,21,51,12,
ppo,,5,20,0,7,0.0,300.0,26.0,9.0,0.49425066666666834
astar,median,5,20,-1,7,True,61,26,11,
astar,component,5,20,-1,7,True,11,25,8,
astar,bbox,5,20,-1,7,True,27,39,12,
ppo,,5,20,0,8,0.0,300.0,30.0,10.0,0.5026870000000017
astar,median,5,20,-1,8,True,10,35,10,
astar,component,5,20,-1,8,True,44,84,22,
astar,bbox,5,20,-1,8,True,16,43,11,
ppo,,5,20,0,9,0.0,300.0,41.0,15.0,0.4752640000000004
astar,median,5,20,-1,9,True,44,48,17,
astar,component,5,20,-1,9,True,18,59,15,
astar,bbox,5,20,-1,9,True,23,44,13,
ppo,,5,20,0,10,0.0,300.0,323.0,300.0,0.5006976666666674
astar,median,5,20,-1,10,True,64,47,14,
astar,component,5,20,-1,10,True,23,64,17,
astar,bbox,5,20,-1,10,True,19,56,14,
ppo,,5,20,0,11,0.0,300.0,42.0,15.0,0.4946000000000102
astar,median,5,20,-1,11,True,46,51,16,
astar,component,5,20,-1,11,True,71,77,18,
astar,bbox,5,20,-1,11,True,14,51,14,
ppo,,5,20,0,12,0.0,300.0,27.0,12.0,0.48583233333333214
astar,median,5,20,-1,12,True,28,37,20,
astar,component,5,20,-1,12,True,65,63,21,
astar,bbox,5,20,-1,12,True,26,49,11,
ppo,,5,20,0,13,0.0,300.0,24.0,14.0,0.4802843333333347
astar,median,5,20,-1,13,True,88,65,23,
astar,component,5,20,-1,13,False,300,257,98,
astar,bbox,5,20,-1,13,True,81,66,15,
ppo,,5,20,0,14,0.0,300.0,331.0,300.0,0.5008000000000005
astar,median,5,20,-1,14,True,22,43,20,
astar,component,5,20,-1,14,True,33,118,31,
astar,bbox,5,20,-1,14,True,16,48,12,
ppo,,5,20,0,15,0.0,300.0,307.0,295.0,0.4932463333333222
astar,median,5,20,-1,15,True,13,32,13,
astar,component,5,20,-1,15,True,43,79,34,
astar,bbox,5,20,-1,15,True,90,78,18,
ppo,,5,20,0,16,0.0,300.0,13.0,8.0,0.4914406666666693
astar,median,5,20,-1,16,True,13,27,12,
astar,component,5,20,-1,16,True,14,32,13,
astar,bbox,5,20,-1,16,True,10,34,10,
ppo,,5,20,0,17,0.0,300.0,28.0,14.0,0.4897553333333349
astar,median,5,20,-1,17,True,16,51,15,
astar,component,5,20,-1,17,True,38,85,25,
astar,bbox,5,20,-1,17,True,88,69,17,
ppo,,5,20,0,18,0.0,300.0,50.0,16.0,0.47683133333334143
astar,median,5,20,-1,18,True,13,33,13,
astar,component,5,20,-1,18,True,12,41,12,
astar,bbox,5,20,-1,18,True,12,34,12,
ppo,,5,20,0,19,0.0,300.0,68.0,18.0,0.47324599999999606
astar,median,5,20,-1,19,True,72,65,19,
astar,component,5,20,-1,19,False,300,346,80,
astar,bbox,5,20,-1,19,True,169,93,26,
ppo,,5,20,1,0,0.0,300.0,323.0,299.0,0.49717633333333566
ppo,,5,20,1,1,0.0,300.0,17.0,9.0,0.489188666666666
ppo,,5,20,1,2,0.0,300.0,20.0,8.0,0.48326100000000594
ppo,,5,20,1,3,0.0,300.0,336.0,300.0,0.4961356666666698
ppo,,5,20,1,4,0.0,300.0,25.0,11.0,0.4742510000000048
ppo,,5,20,1,5,0.0,300.0,19.0,7.0,0.4653513333333237
ppo,,5,20,1,6,0.0,300.0,629.0,300.0,0.4819566666666712
ppo,,5,20,1,7,0.0,300.0,26.0,13.0,0.4772176666666657
ppo,,5,20,1,8,0.0,300.0,321.0,297.0,0.47979033333332904
ppo,,5,20,1,9,0.0,300.0,62.0,18.0,0.4693589999999996
ppo,,5,20,1,10,0.0,300.0,41.0,10.0,0.4845640000000036
ppo,,5,20,1,11,0.0,300.0,344.0,289.0,0.5013856666666664
ppo,,5,20,1,12,0.0,300.0,321.0,300.0,0.4967883333333371
