method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,jain,wall_ms_per_step
ppo,,4,20,1,5,1.0,77.8,188.0,56.8,0.9742988812682387,0.7622933161953735
ppo,,4,20,1,6,1.0,92.4,163.4,49.6,0.9673080244188708,0.8434889610389589
ppo,,4,20,1,7,1.0,90.4,179.8,53.4,0.9768105673934876,0.7989106194690274
ppo,,4,20,1,8,1.0,96.6,212.4,62.0,0.9846022798346304,0.8345445134575586
ppo,,4,20,1,9,1.0,21.6,55.8,16.4,0.967588085731693,0.7992268518518407
ppo,,4,20,1,10,1.0,88.8,204.2,61.6,0.9703138531589577,0.8235790540540578
ppo,,4,20,1,11,1.0,27.8,66.8,19.4,0.9766349072389684,0.9784611510791584
ppo,,4,20,1,12,1.0,97.2,187.0,54.8,0.9775256666938373,0.8149281893004149
ppo,,4,20,1,13,1.0,39.2,91.6,29.2,0.9382148160872813,0.8502974489796005
ppo,,4,20,1,14,1.0,109.4,188.0,56.6,0.972616239548957,0.8497319926873875
ppo,,4,20,1,15,1.0,92.6,202.6,59.6,0.975712568410781,0.8423231101511856
ppo,,4,20,1,16,1.0,18.4,47.2,16.8,0.9051900966127393,0.949866304347834
ppo,,4,20,1,17,0.2,294.2,453.4,137.6,0.9398508413662015,0.8416348742352179
ppo,,4,20,1,18,1.0,26.8,78.0,22.6,0.9806574698899159,0.9189664179104677
ppo,,4,20,1,19,0.8,145.8,274.0,85.8,0.9423853554200768,0.8661259259259303
ppo,,4,20,2,0,1.0,26.6,67.0,20.8,0.9574272187191027,0.8852488721804809
ppo,,4,20,2,1,1.0,46.2,118.4,36.2,0.9581585281589833,0.830344588744585
ppo,,4,20,2,2,0.8,133.6,265.6,72.6,0.9863626668383864,0.7763732035928181
ppo,,4,20,2,3,1.0,91.4,210.8,60.4,0.979338502145319,0.8765411378555885
ppo,,4,20,2,4,0.4,234.2,449.0,153.8,0.8893667719658598,0.9639556789069157
ppo,,4,20,2,5,0.8,177.0,338.8,104.2,0.9651300894156464,0.7829774011299419
ppo,,4,20,2,6,0.8,119.4,277.2,77.6,0.9852170006658796,0.7939587939698572
ppo,,4,20,2,7,1.0,90.8,210.8,68.0,0.9185855338729706,0.8297511013215774
ppo,,4,20,2,8,1.0,45.2,107.4,33.0,0.9478165960913362,0.7769150442477912
ppo,,4,20,2,9,1.0,27.2,79.2,23.4,0.9776853977970461,0.8176227941176523
ppo,,4,20,2,10,1.0,41.0,105.0,29.6,0.9840327234096303,0.9257834146341485
ppo,,4,20,2,11,1.0,60.4,149.8,42.4,0.9802881159763773,0.8164559602648838
